edgebits,solver,gpu,nonce,edges,dupes,solve_ms
29,mean,0,5000323,226,0,99
29,mean,0,5000324,248,0,99
29,mean,0,5000325,272,0,99
29,mean,0,5000326,212,0,99
29,mean,0,5000327,252,0,100
29,mean,0,5000328,266,0,99
29,mean,0,5000329,244,0,99
29,mean,0,5000330,226,0,99
29,mean,0,5000331,226,0,100
29,mean,0,5000332,218,0,100
29,mean,0,5000333,272,0,99
29,mean,0,5000334,236,0,100
29,mean,0,5000335,294,0,107
29,mean,0,5000336,244,2,100
29,mean,0,5000337,278,0,100
29,mean,0,5000338,238,0,100
29,mean,0,5000339,270,0,99
29,mean,0,5000340,202,0,100
29,mean,0,5000341,234,0,100
29,mean,0,5000342,226,2,100
29,mean,0,5000343,216,0,99
29,mean,0,5000344,272,0,100
29,mean,0,5000345,260,0,99
29,mean,0,5000346,226,0,99
29,mean,0,5000347,236,0,100
29,mean,0,5000348,216,2,99
29,mean,0,5000349,300,2,100
29,mean,0,5000350,232,0,99
29,mean,0,5000351,246,0,99
29,mean,0,5000352,234,0,100
29,mean,0,5000353,234,0,99
29,mean,0,5000354,254,0,100
29,mean,0,5000355,268,0,99
29,mean,0,5000356,250,2,100
29,mean,0,5000357,242,0,99
29,mean,0,5000358,216,0,99
29,mean,0,5000359,228,0,99
29,mean,0,5000360,254,0,99
29,mean,0,5000361,256,0,99
29,mean,0,5000362,278,2,100
29,mean,0,5000363,216,0,100
29,mean,0,5000364,192,0,99
29,mean,0,5000365,298,0,99
29,mean,0,5000366,222,0,99
29,mean,0,5000367,236,0,100
29,mean,0,5000368,234,0,99
29,mean,0,5000369,214,0,99
29,mean,0,5000370,210,2,99
29,mean,0,5000371,246,0,100
29,mean,0,5000372,246,0,100
29,mean,0,5000373,206,0,99
29,mean,0,5000374,224,0,100
29,mean,0,5000375,212,0,100
29,mean,0,5000376,220,0,99
29,mean,0,5000377,248,0,100
29,mean,0,5000378,284,4,99
29,mean,0,5000379,268,0,99
29,mean,0,5000380,242,0,100
29,mean,0,5000381,200,0,100
29,mean,0,5000382,242,0,100
29,mean,0,5000383,252,4,99
29,mean,0,5000384,244,0,100
29,mean,0,5000385,212,0,99
29,mean,0,5000386,244,0,100
29,mean,0,5000387,288,0,108
29,mean,0,5000388,208,0,99
29,mean,0,5000389,246,0,100
29,mean,0,5000390,216,0,100
29,mean,0,5000391,258,0,99
29,mean,0,5000392,256,0,99
29,mean,0,5000393,230,0,100
29,mean,0,5000394,276,0,99
29,mean,0,5000395,240,0,100
29,mean,0,5000396,230,0,99
29,mean,0,5000397,262,0,99
29,mean,0,5000398,232,0,99
29,mean,0,5000399,270,0,99
29,mean,0,5000400,216,0,100
29,mean,0,5000401,242,0,99
29,mean,0,5000402,222,0,100
29,mean,0,5000403,234,0,99
29,mean,0,5000404,256,2,100
29,mean,0,5000405,236,0,100
29,mean,0,5000406,202,0,99
29,mean,0,5000407,230,0,99
29,mean,0,5000408,238,2,100
29,mean,0,5000409,276,0,99
29,mean,0,5000410,314,0,107
29,mean,0,5000411,226,2,100
29,mean,0,5000412,234,0,99
29,mean,0,5000413,232,0,100
29,mean,0,5000414,260,0,99
29,mean,0,5000415,250,0,99
29,mean,0,5000416,258,0,99
29,mean,0,5000417,226,0,100
29,mean,0,5000418,232,0,99
29,mean,0,5000419,272,2,99
29,mean,0,5000420,290,0,100
29,mean,0,5000421,254,0,100
29,mean,0,5000422,282,2,99
29,mean,0,5000423,212,2,99
29,mean,0,5000424,240,2,99
29,mean,0,5000425,232,0,99
29,mean,0,5000426,266,0,99
29,mean,0,5000427,238,0,100
29,mean,0,5000428,252,0,99
29,mean,0,5000429,256,0,99
29,mean,0,5000430,256,0,99
29,mean,0,5000431,244,0,99
29,mean,0,5000432,226,0,99
29,mean,0,5000433,228,0,99
29,mean,0,5000434,252,0,99
29,mean,0,5000435,218,0,99
29,mean,0,5000436,276,0,99
29,mean,0,5000437,254,0,99
29,mean,0,5000438,220,2,100
29,mean,0,5000439,248,0,99
29,mean,0,5000440,232,0,100
29,mean,0,5000441,216,0,99
29,mean,0,5000442,278,0,99
29,mean,0,5000443,242,0,100
29,mean,0,5000444,232,0,100
29,mean,0,5000445,262,0,99
29,mean,0,5000446,220,0,99
29,mean,0,5000447,262,2,99
29,mean,0,5000448,246,0,99
29,mean,0,5000449,246,0,99
29,mean,0,5000450,226,2,99
29,mean,0,5000451,230,0,100
29,mean,0,5000452,268,0,100
29,mean,0,5000453,242,0,99
29,mean,0,5000454,236,0,99
29,mean,0,5000455,248,0,99
29,mean,0,5000456,274,0,99
29,mean,0,5000457,188,0,99
29,mean,0,5000458,254,0,100
29,mean,0,5000459,212,0,99
29,mean,0,5000460,232,0,100
29,mean,0,5000461,226,0,99
29,mean,0,5000462,252,0,100
29,mean,0,5000463,188,0,99
29,mean,0,5000464,244,0,100
29,mean,0,5000465,206,0,100
29,mean,0,5000466,238,0,99
29,mean,0,5000467,230,0,99
29,mean,0,5000468,222,0,100
29,mean,0,5000469,290,0,99
29,mean,0,5000470,258,0,99
29,mean,0,5000471,222,2,99
29,mean,0,5000472,236,0,100
29,mean,0,5000473,264,0,100
29,mean,0,5000474,268,0,99
29,mean,0,5000475,274,0,100
29,mean,0,5000476,216,0,99
29,mean,0,5000477,264,2,99
29,mean,0,5000478,256,0,100
29,mean,0,5000479,216,0,100
29,mean,0,5000480,222,0,100
29,mean,0,5000481,258,0,99
29,mean,0,5000482,246,0,99
29,mean,0,5000483,260,0,99
29,mean,0,5000484,258,0,99
29,mean,0,5000485,278,0,100
29,mean,0,5000486,208,0,99
29,mean,0,5000487,238,0,100
29,mean,0,5000488,252,0,99
29,mean,0,5000489,224,0,100
29,mean,0,5000490,262,0,99
29,mean,0,5000491,224,0,100
29,mean,0,5000492,226,0,100
29,mean,0,5000493,234,0,99
29,mean,0,5000494,256,2,99
29,mean,0,5000495,262,0,99
29,mean,0,5000496,242,0,100
29,mean,0,5000497,248,0,100
29,mean,0,5000498,200,2,99
29,mean,0,5000499,252,0,100
29,mean,0,5000500,288,2,99
29,mean,0,5000501,230,0,100
29,mean,0,5000502,276,2,100
29,mean,0,5000503,220,0,99
29,mean,0,5000504,206,0,99
29,mean,0,5000505,270,0,99
29,mean,0,5000506,236,0,99
29,mean,0,5000507,236,0,99
29,mean,0,5000508,238,0,99
29,mean,0,5000509,276,0,100
29,mean,0,5000510,216,0,100
29,mean,0,5000511,242,0,99
29,mean,0,5000512,250,2,99
29,mean,0,5000513,198,0,100
29,mean,0,5000514,220,0,100
29,mean,0,5000515,218,0,100
29,mean,0,5000516,214,0,100
29,mean,0,5000517,246,0,100
29,mean,0,5000518,242,0,100
29,mean,0,5000519,200,0,99
29,mean,0,5000520,242,0,99
29,mean,0,5000521,244,0,100
29,mean,0,5000522,262,0,100
29,mean,0,5000523,290,0,99
29,mean,0,5000524,262,0,108
29,mean,0,5000525,236,0,99
29,mean,0,5000526,266,0,99
29,mean,0,5000527,238,0,99
29,mean,0,5000528,276,0,100
29,mean,0,5000529,226,0,100
29,mean,0,5000530,234,0,99
29,mean,0,5000531,226,0,100
29,mean,0,5000532,216,0,100
29,mean,0,5000533,234,0,99
29,mean,0,5000534,260,0,99
29,mean,0,5000535,236,0,99
29,mean,0,5000536,272,2,99
29,mean,0,5000537,212,0,100
29,mean,0,5000538,208,0,100
29,mean,0,5000539,262,0,100
29,mean,0,5000540,248,0,100
29,mean,0,5000541,174,0,100
29,mean,0,5000542,264,0,100
29,mean,0,5000543,244,0,100
29,mean,0,5000544,242,0,99
29,mean,0,5000545,254,2,100
29,mean,0,5000546,266,0,99
29,mean,0,5000547,286,0,99
29,mean,0,5000548,242,0,99
29,mean,0,5000549,232,0,99
29,mean,0,5000550,248,0,100
29,mean,0,5000551,240,0,100
29,mean,0,5000552,226,0,100
29,mean,0,5000553,284,2,99
29,mean,0,5000554,268,2,99
29,mean,0,5000555,258,0,99
29,mean,0,5000556,270,0,99
29,mean,0,5000557,216,2,100
29,mean,0,5000558,300,0,100
29,mean,0,5000559,250,0,100
29,mean,0,5000560,238,0,99
29,mean,0,5000561,258,0,100
29,mean,0,5000562,240,0,99
29,mean,0,5000563,276,0,99
29,mean,0,5000564,254,0,100
29,mean,0,5000565,260,0,99
29,mean,0,5000566,256,0,100
29,mean,0,5000567,222,0,100
29,mean,0,5000568,268,0,100
29,mean,0,5000569,260,2,100
29,mean,0,5000570,246,0,100
29,mean,0,5000571,232,0,99
29,mean,0,5000572,220,0,100
29,mean,0,5000573,216,0,99
29,mean,0,5000574,248,0,100
29,mean,0,5000575,254,0,99
29,mean,0,5000576,268,0,100
29,mean,0,5000577,264,0,100
29,mean,0,5000578,202,0,100
29,mean,0,5000579,228,0,100
29,mean,0,5000580,270,0,99
29,mean,0,5000581,244,0,100
29,mean,0,5000582,230,0,99
29,mean,0,5000583,244,0,99
29,mean,0,5000584,236,0,100
29,mean,0,5000585,252,0,99
29,mean,0,5000586,222,0,99
29,mean,0,5000587,262,4,99
29,mean,0,5000588,194,4,99
29,mean,0,5000589,242,0,99
29,mean,0,5000590,262,0,100
29,mean,0,5000591,264,0,99
29,mean,0,5000592,226,0,100
29,mean,0,5000593,212,0,100
29,mean,0,5000594,258,0,99
29,mean,0,5000595,280,4,100
29,mean,0,5000596,252,0,99
29,mean,0,5000597,230,0,100
29,mean,0,5000598,218,0,99
29,mean,0,5000599,238,0,99
31,mean,0,5000000,1954,4,277
31,mean,0,5000001,1952,0,272
31,mean,0,5000002,1996,2,271
31,mean,0,5000003,1842,6,272
31,mean,0,5000004,1942,0,270
31,mean,0,5000005,1866,0,273
31,mean,0,5000006,1844,2,272
31,mean,0,5000007,2000,0,272
31,mean,0,5000008,1864,0,272
31,mean,0,5000009,1976,2,273
31,mean,0,5000010,2046,0,273
31,mean,0,5000011,1826,5,273
31,mean,0,5000012,1906,1,273
31,mean,0,5000013,1862,0,272
31,mean,0,5000014,1994,0,272
31,mean,0,5000015,2056,4,271
31,mean,0,5000016,1942,0,272
31,mean,0,5000017,1936,2,272
31,mean,0,5000018,1944,0,273
31,mean,0,5000019,1952,0,273
31,mean,0,5000020,1998,2,274
31,mean,0,5000021,1880,0,272
31,mean,0,5000022,1874,0,272
31,mean,0,5000023,1900,0,272
31,mean,0,5000024,1978,2,270
31,mean,0,5000025,2032,2,272
31,mean,0,5000026,2054,2,273
31,mean,0,5000027,2008,0,271
31,mean,0,5000028,1918,2,272
31,mean,0,5000029,1906,0,273
31,mean,0,5000030,1932,2,273
31,mean,0,5000031,1918,0,273
31,mean,0,5000032,2016,0,272
31,mean,0,5000033,1864,0,272
31,mean,0,5000034,1876,0,273
31,mean,0,5000035,1932,2,274
31,mean,0,5000036,1980,0,271
31,mean,0,5000037,1926,0,274
31,mean,0,5000038,1720,4,270
31,mean,0,5000039,1936,2,272
31,mean,0,5000040,1980,1,272
31,mean,0,5000041,1816,2,268
31,mean,0,5000042,2000,0,272
31,mean,0,5000043,1938,0,271
31,mean,0,5000044,1956,2,273
31,mean,0,5000045,1986,0,272
31,mean,0,5000046,1974,0,273
31,mean,0,5000047,1934,0,273
31,mean,0,5000048,1930,0,273
31,mean,0,5000049,1918,0,271
31,mean,0,5000050,2050,2,273
31,mean,0,5000051,1920,6,273
31,mean,0,5000052,1978,0,272
31,mean,0,5000053,1932,0,273
31,mean,0,5000054,1872,6,272
31,mean,0,5000055,1884,0,272
31,mean,0,5000056,1904,1,273
31,mean,0,5000057,1912,0,272
31,mean,0,5000058,1918,0,272
31,mean,0,5000059,1968,0,273
31,mean,0,5000060,1846,2,273
31,mean,0,5000061,1952,2,273
31,mean,0,5000062,1988,2,274
31,mean,0,5000063,1946,4,273
31,mean,0,5000064,1888,0,273
31,mean,0,5000065,1922,0,273
31,mean,0,5000066,2004,2,306
31,mean,0,5000067,1906,0,275
31,mean,0,5000068,1978,0,274
31,mean,0,5000069,1970,2,272
31,mean,0,5000070,2068,2,273
31,mean,0,5000071,1948,0,274
31,mean,0,5000072,1910,0,272
31,mean,0,5000073,1830,0,272
31,mean,0,5000074,2048,0,273
31,mean,0,5000075,1930,0,272
31,mean,0,5000076,1944,0,273
31,mean,0,5000077,2018,0,273
31,mean,0,5000078,1904,4,272
31,mean,0,5000079,1892,0,272
31,mean,0,5000080,2034,0,274
31,mean,0,5000081,1970,2,273
31,mean,0,5000082,1852,0,274
31,mean,0,5000083,1986,0,275
31,mean,0,5000084,1994,2,275
31,mean,0,5000085,1960,2,272
31,mean,0,5000086,1922,4,272
31,mean,0,5000087,1828,4,274
31,mean,0,5000088,1952,2,272
31,mean,0,5000089,1974,1,274
31,mean,0,5000090,1908,0,272
31,mean,0,5000091,1962,6,272
31,mean,0,5000092,2018,2,272
31,mean,0,5000093,1856,2,275
31,mean,0,5000094,1880,2,271
31,mean,0,5000095,1926,6,273
31,mean,0,5000096,1906,8,273
31,mean,0,5000097,2050,4,272
31,mean,0,5000098,1848,4,274
31,mean,0,5000099,1880,4,273
31,mean,0,5000100,1890,2,272
31,mean,0,5000101,1938,4,273
31,mean,0,5000102,1918,0,273
31,mean,0,5000103,2004,2,272
31,mean,0,5000104,1818,0,273
31,mean,0,5000105,1986,0,273
31,mean,0,5000106,1918,0,272
31,mean,0,5000107,1874,6,273
31,mean,0,5000108,1872,0,272
31,mean,0,5000109,2000,4,272
31,mean,0,5000110,2022,2,273
31,mean,0,5000111,1902,0,273
31,mean,0,5000112,1886,0,272
31,mean,0,5000113,1810,2,272
31,mean,0,5000114,1876,2,272
31,mean,0,5000115,2004,2,273
31,mean,0,5000116,1926,0,273
31,mean,0,5000117,1958,2,273
31,mean,0,5000118,1922,0,273
31,mean,0,5000119,1986,6,273
31,mean,0,5000120,1852,0,273
31,mean,0,5000121,1946,0,272
31,mean,0,5000122,2046,0,273
31,mean,0,5000123,1980,0,307
31,mean,0,5000124,1932,4,276
31,mean,0,5000125,1978,2,272
31,mean,0,5000126,1878,2,272
31,mean,0,5000127,1926,0,273
31,mean,0,5000128,1932,0,273
31,mean,0,5000129,1918,2,271
31,mean,0,5000130,1946,0,273
31,mean,0,5000131,1926,2,272
31,mean,0,5000132,1908,0,273
31,mean,0,5000133,1916,0,273
31,mean,0,5000134,1952,0,274
31,mean,0,5000135,1896,0,271
31,mean,0,5000136,2016,0,272
31,mean,0,5000137,1978,2,274
31,mean,0,5000138,2084,0,272
31,mean,0,5000139,1920,2,274
31,mean,0,5000140,1940,0,273
31,mean,0,5000141,1878,2,273
31,mean,0,5000142,2018,2,273
31,mean,0,5000143,1996,0,273
31,mean,0,5000144,2016,0,273
31,mean,0,5000145,1836,0,273
